"Table 1. Per Capita Personal Income by County, 2017 - 2019",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in State,Percent change,,Rank in State
Freeborn,"43,780","45,410","47,356",62,3.7,4.3,23
Goodhue,"51,749","53,871","55,816",19,4.1,3.6,32
Grant,"47,512","47,917","50,366",42,0.9,5.1,20
Hennepin,"71,141","75,113","76,552",1,5.6,1.9,78
Houston,"49,508","51,638","53,446",27,4.3,3.5,37
Hubbard,"41,990","43,732","45,257",71,4.1,3.5,38
Isanti,"42,346","44,497","45,781",68,5.1,2.9,56
Itasca,"41,447","44,449","46,020",67,7.2,3.5,35
Jackson,"51,284","53,289","57,933",10,3.9,8.7,6
Kanabec,"41,006","41,799","43,416",80,1.9,3.9,27
Kandiyohi,"52,856","53,338","54,111",24,0.9,1.4,81
Kittson,"50,337","51,430","50,628",40,2.2,-1.6,87
Koochiching,"39,176","42,093","45,054",73,7.4,7.0,13
Lac qui Parle,"50,445","51,489","56,527",17,2.1,9.8,4
Lake,"46,190","48,302","49,743",46,4.6,3.0,53
Lake of the Woods,"55,710","56,575","57,121",14,1.6,1.0,83
Le Sueur,"47,099","49,117","50,728",38,4.3,3.3,45
Lincoln,"46,952","46,288","52,251",30,-1.4,12.9,1
Lyon,"49,703","51,060","54,108",25,2.7,6.0,17
McLeod,"46,452","48,890","50,380",41,5.2,3.0,50
Mahnomen,"33,832","35,472","36,427",87,4.8,2.7,59
Marshall,"49,164","51,745","51,545",34,5.2,-0.4,84
Martin,"49,744","53,238","57,091",15,7.0,7.2,12
Meeker,"43,061","44,686","46,073",66,3.8,3.1,49
Mille Lacs,"40,201","41,788","43,058",81,3.9,3.0,51
Morrison,"41,155","42,497","43,703",79,3.3,2.8,57
Mower,"45,488","46,432","47,445",61,2.1,2.2,74
Murray,"50,027","52,875","59,183",8,5.7,11.9,2
Nicollet,"47,690","49,290","51,036",37,3.4,3.5,34
Nobles,"44,246","45,533","49,217",51,2.9,8.1,9
Norman,"37,528","39,177","41,584",83,4.4,6.1,14
Olmsted,"55,443","58,233","59,176",9,5.0,1.6,80
Otter Tail,"46,621","47,871","49,277",50,2.7,2.9,55
Pennington,"52,069","56,401","57,337",13,8.3,1.7,79
Pine,"35,718","36,729","37,971",86,2.8,3.4,43
Pipestone,"54,600","56,301","61,830",6,3.1,9.8,3
Polk,"45,136","46,925","48,513",56,4.0,3.4,42
Pope,"49,275","51,198","52,217",32,3.9,2.0,77
Ramsey,"52,464","54,366","55,583",20,3.6,2.2,70
Red Lake,"47,831","50,479","50,221",43,5.5,-0.5,85
Redwood,"48,394","52,019","54,719",23,7.5,5.2,19
Renville,"49,918","51,875","53,855",26,3.9,3.8,28
Rice,"42,269","43,706","45,092",72,3.4,3.2,46
Rock,"51,604","53,658","57,617",12,4.0,7.4,11
Roseau,"45,917","49,636","49,328",49,8.1,-0.6,86
St. Louis,"44,832","47,058","48,718",53,5.0,3.5,36
Scott,"57,440","60,759","62,164",4,5.8,2.3,68
Sherburne,"45,417","46,660","47,712",59,2.7,2.3,69
Sibley,"45,864","47,316","49,408",48,3.2,4.4,21
Stearns,"45,215","46,789","47,938",58,3.5,2.5,60
Steele,"45,398","46,695","48,580",55,2.9,4.0,24
Stevens,"47,075","47,182","50,696",39,0.2,7.4,10
Swift,"49,477","50,906","52,813",28,2.9,3.7,29
Todd,"40,722","42,409","43,979",78,4.1,3.7,31
Traverse,"56,439","57,066","60,535",7,1.1,6.1,15
Wabasha,"46,638","48,370","50,042",45,3.7,3.5,40
Wadena,"38,475","39,802","40,756",85,3.4,2.4,61
Waseca,"43,063","42,587","44,262",76,-1.1,3.9,26
Washington,"65,049","67,171","68,525",3,3.3,2.0,76
Watonwan,"43,194","44,878","48,684",54,3.9,8.5,7
Wilkin,"53,545","55,170","57,087",16,3.0,3.5,39
Winona,"47,168","48,070","49,412",47,1.9,2.8,58
Wright,"48,370","50,480","51,609",33,4.4,2.2,71
Yellow Medicine,"50,790","53,504","57,881",11,5.3,8.2,8
,,,,,,,
Mississippi,"36,536","37,852","38,914",--,3.6,2.8,--
Adams,"32,213","34,191","35,563",40,6.1,4.0,20
Alcorn,"34,283","36,147","36,592",33,5.4,1.2,72
Amite,"33,223","34,715","35,151",45,4.5,1.3,70
Attala,"32,755","33,071","34,583",53,1.0,4.6,13
Benton,"29,301","30,432","31,411",72,3.9,3.2,39
Bolivar,"37,513","39,061","39,179",16,4.1,0.3,76
Calhoun,"30,815","32,064","33,450",62,4.1,4.3,15
Carroll,"36,887","38,021","38,497",22,3.1,1.3,71
Chickasaw,"35,350","35,708","36,994",29,1.0,3.6,26
Choctaw,"31,943","33,117","34,999",47,3.7,5.7,5
Claiborne,"29,909","30,530","31,501",70,2.1,3.2,41
Clarke,"35,668","37,269","38,735",20,4.5,3.9,21
Clay,"35,810","37,201","39,449",13,3.9,6.0,4
Coahoma,"34,385","35,607","37,070",27,3.6,4.1,17
Copiah,"32,077","32,907","33,932",58,2.6,3.1,42
Covington,"35,793","37,165","36,985",30,3.8,-0.5,79
DeSoto,"39,221","41,058","42,007",5,4.7,2.3,58
Forrest,"37,299","38,541","39,450",12,3.3,2.4,56
Franklin,"32,842","33,569","35,353",44,2.2,5.3,7
George,"31,337","33,060","33,595",60,5.5,1.6,67
Greene,"27,519","27,480","28,617",80,-0.1,4.1,16
Grenada,"34,567","35,798","37,067",28,3.6,3.5,27
Hancock,"34,153","35,617","36,533",35,4.3,2.6,49
Harrison,"36,208","37,129","38,140",25,2.5,2.7,47
Hinds,"37,558","38,986","40,279",8,3.8,3.3,35
Holmes,"27,661","28,571","29,976",79,3.3,4.9,12
Humphreys,"32,488","32,755","34,941",49,0.8,6.7,3
Issaquena,"21,353","24,379","27,430",82,14.2,12.5,1
Itawamba,"33,527","35,085","36,375",37,4.6,3.7,25
Jackson,"36,437","37,311","38,269",24,2.4,2.6,50
Jasper,"37,659","39,528","39,699",11,5.0,0.4,74
Jefferson,"32,035","34,180","34,860",51,6.7,2.0,63
Jefferson Davis,"29,780","30,018","30,429",76,0.8,1.4,69
Jones,"36,927","37,786","38,740",19,2.3,2.5,52
Kemper,"27,405","28,927","30,021",78,5.6,3.8,24
Lafayette,"40,518","42,905","43,820",3,5.9,2.1,60
Lamar,"38,868","39,505","40,207",9,1.6,1.8,65
Lauderdale,"36,598","37,700","39,359",15,3.0,4.4,14
Lawrence,"33,157","34,651","34,308",55,4.5,-1.0,81
Leake,"31,354","32,293","31,441",71,3.0,-2.6,82
Lee,"40,337","41,302","42,635",4,2.4,3.2,38
Leflore,"36,390","37,692","38,974",17,3.6,3.4,32
Lincoln,"37,274","38,505","39,441",14,3.3,2.4,53
Lowndes,"37,079","38,786","40,717",7,4.6,5.0,11
Madison,"61,692","64,191","65,746",1,4.1,2.4,54
Marion,"32,835","37,605","38,701",21,14.5,2.9,45
Marshall,"31,107","32,876","34,165",57,5.7,3.9,22
Monroe,"33,378","34,865","36,295",38,4.5,4.1,18
Montgomery,"33,397","34,167","35,910",39,2.3,5.1,9
Neshoba,"35,474","36,244","36,785",32,2.2,1.5,68
Newton,"33,832","34,744","35,563",40,2.7,2.4,57
Noxubee,"31,668","31,885","34,204",56,0.7,7.3,2
Oktibbeha,"32,726","34,575","35,457",42,5.6,2.6,51
Panola,"31,793","32,948","33,528",61,3.6,1.8,66
Pearl River,"34,733","36,063","37,178",26,3.8,3.1,43
Perry,"31,106","32,329","33,188",64,3.9,2.7,48
Pike,"29,994","30,675","31,536",69,2.3,2.8,46
Pontotoc,"31,733","32,835","33,932",58,3.5,3.3,33
Prentiss,"29,974","30,305","31,314",73,1.1,3.3,34
Quitman,"27,411","29,250","30,185",77,6.7,3.2,40
Rankin,"43,134","44,170","45,237",2,2.4,2.4,55
Scott,"30,789","31,649","31,585",68,2.8,-0.2,78
Sharkey,"34,317","34,090","34,830",52,-0.7,2.2,59
Simpson,"35,155","36,439","36,587",34,3.7,0.4,75
Smith,"34,204","35,751","35,445",43,4.5,-0.9,80
Stone,"30,427","32,685","33,369",63,7.4,2.1,62
Sunflower,"30,184","30,937","31,846",67,2.5,2.9,44
Tallahatchie,"29,334","29,877","30,451",75,1.9,1.9,64
Tate,"34,011","35,593","36,836",31,4.7,3.5,29
Tippah,"32,618","33,692","35,061",46,3.3,4.1,19
Tishomingo,"31,703","33,771","34,871",50,6.5,3.3,37
Tunica,"32,097","32,674","34,325",54,1.8,5.1,10
Union,"31,115","31,969","33,027",65,2.7,3.3,36
Walthall,"31,499","31,693","31,910",66,0.6,0.7,73
Warren,"38,180","39,727","41,102",6,4.1,3.5,31
Washington,"36,118","37,622","38,942",18,4.2,3.5,28
Wayne,"33,798","34,905","34,961",48,3.3,0.2,77
Webster,"37,322","37,744","39,794",10,1.1,5.4,6
Wilkinson,"28,275","29,212","30,723",74,3.3,5.2,8
Winston,"34,238","35,192","36,414",36,2.8,3.5,30
Yalobusha,"35,393","37,043","38,478",23,4.7,3.9,23
Yazoo,"27,026","27,089","27,666",81,0.2,2.1,61
,,,,,,,
Missouri,"45,342","47,109","48,656",--,3.9,3.3,--
Adair,"31,689","32,398","33,351",99,2.2,2.9,92
Andrew,"43,416","43,385","45,594",17,-0.1,5.1,33
Atchison,"43,705","39,897","48,160",10,-8.7,20.7,1
Audrain,"38,270","37,106","39,118",53,-3.0,5.4,29
Barry,"33,536","35,085","35,003",87,4.6,-0.2,115
Barton,"35,151","34,849","36,035",78,-0.9,3.4,75
Bates,"37,618","37,782","40,325",45,0.4,6.7,20
Benton,"35,229","37,148","38,536",58,5.4,3.7,61
Bollinger,"31,239","32,269","33,632",95,3.3,4.2,48
Boone,"45,796","46,557","48,525",7,1.7,4.2,47
Buchanan,"38,200","38,780","40,156",48,1.5,3.5,70
Butler,"35,266","35,764","36,606",74,1.4,2.4,108
Caldwell,"36,238","37,191","38,939",56,2.6,4.7,39
Callaway,"36,809","37,255","39,111",54,1.2,5.0,34
Camden,"36,764","37,108","38,352",59,0.9,3.4,77
Cape Girardeau,"43,895","45,113","46,754",13,2.8,3.6,65
Carroll,"45,104","43,530","49,468",5,-3.5,13.6,3
Carter,"31,285","31,658","33,370",98,1.2,5.4,30
Cass,"45,204","46,323","47,907",11,2.5,3.4,74
Cedar,"30,213","30,777","31,208",104,1.9,1.4,111
Chariton,"42,700","42,640","46,156",15,-0.1,8.2,9
Christian,"38,732","40,251","41,516",36,3.9,3.1,86
Clark,"35,994","34,114","36,842",71,-5.2,8.0,12
Clay,"46,481","47,574","48,920",6,2.4,2.8,100
Clinton,"40,924","41,513","43,200",22,1.4,4.1,54
Cole,"45,671","46,171","48,273",8,1.1,4.6,42
Cooper,"37,660","38,591","40,212",46,2.5,4.2,50
Crawford,"34,351","35,137","36,242",76,2.3,3.1,85
Dade,"32,869","34,000","35,409",84,3.4,4.1,51
Dallas,"32,001","33,023","34,214",93,3.2,3.6,66
Daviess,"32,354","32,784","35,453",82,1.3,8.1,11
DeKalb,"27,215","28,280","29,649",111,3.9,4.8,37
Dent,"32,027","32,810","34,112",94,2.4,4.0,55
Douglas,"26,839","27,484","29,191",113,2.4,6.2,25
Dunklin,"33,665","35,386","37,291",67,5.1,5.4,31
Franklin,"43,030","44,059","45,672",16,2.4,3.7,64
Gasconade,"38,967","39,238","40,932",40,0.7,4.3,44
Gentry,"40,256","41,309","44,599",19,2.6,8.0,13
Greene,"42,809","44,014","45,476",18,2.8,3.3,79
Grundy,"34,678","34,680","36,146",77,0.0,4.2,46
Harrison,"35,031","35,552","38,154",61,1.5,7.3,16
Henry,"41,228","41,203","42,741",25,-0.1,3.7,62
Hickory,"27,847","28,569","29,033",114,2.6,1.6,110
Holt,"47,524","45,178","53,880",4,-4.9,19.3,2
Howard,"38,655","39,047","41,534",35,1.0,6.4,22
Howell,"32,674","33,881","35,261",85,3.7,4.1,53
Iron,"32,707","33,710","34,554",90,3.1,2.5,106
Jackson,"44,910","46,449","47,819",12,3.4,2.9,91
Jasper,"38,781","41,171","42,348",27,6.2,2.9,98
Jefferson,"40,583","41,867","43,259",21,3.2,3.3,78
Johnson,"35,522","36,478","37,615",62,2.7,3.1,88
Knox,"33,026","33,150","37,092",70,0.4,11.9,5
Laclede,"35,174","36,235","37,228",68,3.0,2.7,103
Lafayette,"40,775","41,539","42,819",24,1.9,3.1,90
Lawrence,"33,375","34,105","34,465",91,2.2,1.1,113
Lewis,"33,515","34,632","37,197",69,3.3,7.4,15
Lincoln,"39,052","39,927","41,082",39,2.2,2.9,95
Linn,"38,179","38,936","40,419",44,2.0,3.8,58
Livingston,"37,655","37,974","39,305",51,0.8,3.5,72
McDonald,"28,196","28,560","28,931",115,1.3,1.3,112
Macon,"41,614","41,565","43,173",23,-0.1,3.9,56
Madison,"35,173","35,853","37,430",64,1.9,4.4,43
Maries,"32,011","32,462","34,965",88,1.4,7.7,14
Marion,"39,137","40,290","41,677",33,2.9,3.4,73
Mercer,"32,111","31,985","34,283",92,-0.4,7.2,18
Miller,"33,857","35,173","36,501",75,3.9,3.8,59
Mississippi,"31,030","30,667","33,213",101,-1.2,8.3,8
Moniteau,"34,935","35,481","36,675",73,1.6,3.4,76
Monroe,"39,642","39,314","42,136",29,-0.8,7.2,19
Montgomery,"39,090","39,505","41,354",38,1.1,4.7,40
Morgan,"39,913","40,800","40,924",41,2.2,0.3,114
New Madrid,"34,053","34,708","38,281",60,1.9,10.3,6
Newton,"37,786","38,557","39,495",50,2.0,2.4,107
Nodaway,"30,307","31,395","33,466",96,3.6,6.6,21
Oregon,"28,357","29,565","30,778",107,4.3,4.1,52
Osage,"43,529","44,119","46,222",14,1.4,4.8,38
Ozark,"29,122","30,650","31,526",102,5.2,2.9,99
Pemiscot,"33,269","35,252","37,487",63,6.0,6.3,24
Perry,"40,120","41,070","42,182",28,2.4,2.7,105
Pettis,"36,728","37,312","38,545",57,1.6,3.3,80
Phelps,"37,677","39,078","40,208",47,3.7,2.9,96
Pike,"33,052","33,296","35,410",83,0.7,6.3,23
Platte,"56,638","57,472","59,095",2,1.5,2.8,101
Polk,"32,938","34,119","35,193",86,3.6,3.1,84
Pulaski,"39,614","40,289","41,734",31,1.7,3.6,67
Putnam,"33,982","35,308","37,336",66,3.9,5.7,26
Ralls,"38,038","38,414","40,447",43,1.0,5.3,32
Randolph,"38,662","39,377","40,856",42,1.8,3.8,60
Ray,"41,272","41,805","43,569",20,1.3,4.2,49
Reynolds,"32,850","33,825","35,467",81,3.0,4.9,36
Ripley,"30,338","30,525","31,522",103,0.6,3.3,82
St. Charles,"50,758","52,735","54,472",3,3.9,3.3,81
St. Clair,"28,848","29,159","30,578",109,1.1,4.9,35
Ste. Genevieve,"38,202","41,013","41,802",30,7.4,1.9,109
St. Francois,"32,741","33,940","34,886",89,3.7,2.8,102
St. Louis,"66,207","71,086","73,016",1,7.4,2.7,104
Saline,"37,880","36,998","39,037",55,-2.3,5.5,28
Schuyler,"29,572","29,851","30,715",108,0.9,2.9,94
Scotland,"33,270","33,263","36,001",79,0.0,8.2,10
Scott,"39,199","40,193","41,626",34,2.5,3.6,68
Shannon,"28,759","30,072","31,184",105,4.6,3.7,63
Shelby,"39,058","38,627","41,446",37,-1.1,7.3,17
Stoddard,"37,039","35,848","37,365",65,-3.2,4.2,45
Stone,"37,117","37,987","39,225",52,2.3,3.3,83
Sullivan,"37,553","37,978","41,690",32,1.1,9.8,7
Taney,"34,631","35,548","36,794",72,2.6,3.5,71
Texas,"27,531","28,316","29,618",112,2.9,4.6,41
Vernon,"34,881","34,653","35,742",80,-0.7,3.1,87
Warren,"39,488","41,359","42,648",26,4.7,3.1,89
Washington,"28,377","29,368","30,490",110,3.5,3.8,57
Wayne,"29,141","29,301","30,930",106,0.5,5.6,27
Webster,"31,333","32,238","33,387",97,2.9,3.6,69
Worth,"34,614","35,372","40,013",49,2.2,13.1,4
Wright,"31,215","32,311","33,243",100,3.5,2.9,97
St. Louis City,"44,500","46,832","48,202",9,5.2,2.9,93
,,,,,,,
Montana,"46,199","48,194","49,747",--,4.3,3.2,--
Beaverhead,"43,052","46,351","48,424",23,7.7,4.5,19
Big Horn,"29,018","30,504","31,887",56,5.1,4.5,18
Blaine,"30,109","30,967","33,560",55,2.8,8.4,7
Broadwater,"40,459","43,128","45,211",36,6.6,4.8,15
Carbon,"47,685","50,443","52,371",9,5.8,3.8,28
Carter,"40,917","42,872","41,642",41,4.8,-2.9,55
Cascade,"46,031","47,889","49,803",16,4.0,4.0,26
Chouteau,"31,221","39,794","41,312",43,27.5,3.8,29
Custer,"43,361","44,945","47,268",29,3.7,5.2,13
Daniels,"49,146","48,073","48,385",24,-2.2,0.6,51
Dawson,"43,581","47,275","47,273",28,8.5,0.0,52
Deer Lodge,"38,416","39,741","41,454",42,3.4,4.3,23
Fallon,"47,901","49,124","50,824",13,2.6,3.5,33
Fergus,"40,380","42,822","46,646",32,6.0,8.9,6
Flathead,"46,485","48,000","48,866",21,3.3,1.8,49
Gallatin,"53,440","56,471","58,195",3,5.7,3.1,38
Garfield,"32,243","35,099","33,995",54,8.9,-3.1,56
Glacier,"32,682","34,731","36,484",50,6.3,5.0,14
Golden Valley,"47,845","50,748","52,862",8,6.1,4.2,24
Granite,"42,110","43,600","44,717",37,3.5,2.6,47
Hill,"42,939","46,248","47,082",30,7.7,1.8,50
Jefferson,"47,320","47,996","49,780",17,1.4,3.7,30
Judith Basin,"42,771","47,554","50,997",12,11.2,7.2,9
Lake,"38,268","39,544","40,754",44,3.3,3.1,37
Lewis and Clark,"47,988","49,039","50,600",14,2.2,3.2,36
Liberty,"34,244","41,959","47,675",26,22.5,13.6,1
Lincoln,"34,450","35,903","37,155",48,4.2,3.5,32
McCone,"39,292","38,808","39,913",47,-1.2,2.8,41
Madison,"48,399","50,932","53,567",7,5.2,5.2,12
Meagher,"41,715","44,522","46,461",33,6.7,4.4,22
Mineral,"38,537","39,453","40,547",45,2.4,2.8,42
Missoula,"48,144","49,798","51,090",11,3.4,2.6,45
Musselshell,"41,720","44,346","45,902",35,6.3,3.5,31
Park,"47,093","49,291","51,538",10,4.7,4.6,17
Petroleum,"32,410","33,621","37,070",49,3.7,10.3,4
Phillips,"37,589","40,725","42,055",40,8.3,3.3,35
Pondera,"40,190","44,466","47,477",27,10.6,6.8,10
Powder River,"33,407","33,901","35,063",53,1.5,3.4,34
Powell,"40,423","42,374","44,111",38,4.8,4.1,25
Prairie,"47,703","50,383","49,750",18,5.6,-1.3,54
Ravalli,"43,701","45,456","46,768",31,4.0,2.9,39
Richland,"57,498","61,264","64,486",1,6.5,5.3,11
Roosevelt,"35,203","36,304","36,067",52,3.1,-0.7,53
Rosebud,"42,645","44,185","45,929",34,3.6,3.9,27
Sanders,"34,385","35,387","36,296",51,2.9,2.6,46
Sheridan,"46,857","47,562","49,659",19,1.5,4.4,21
Silver Bow,"47,838","48,254","49,285",20,0.9,2.1,48
Stillwater,"50,656","52,483","53,913",6,3.6,2.7,43
Sweet Grass,"44,362","46,524","48,591",22,4.9,4.4,20
Teton,"41,035","47,612","49,840",15,16.0,4.7,16
Toole,"42,598","50,241","56,222",4,17.9,11.9,2
Treasure,"45,352","55,817","61,553",2,23.1,10.3,3
Valley,"46,526","46,502","47,831",25,-0.1,2.9,40
Wheatland,"34,528","36,351","40,015",46,5.3,10.1,5
Wibaux,"39,840","39,103","42,078",39,-1.8,7.6,8
Yellowstone,"50,659","52,641","54,069",5,3.9,2.7,44
,,,,,,,
Nebraska,"50,645","52,890","54,515",--,4.4,3.1,--
Adams,"46,288","48,524","50,399",50,4.8,3.9,51
Antelope,"47,809","50,695","54,945",24,6.0,8.4,8
Arthur,"46,369","45,972","48,955",60,-0.9,6.5,19
Banner,"53,390","52,926","55,695",22,-0.9,5.2,36
Blaine,"55,752","57,185","60,120",9,2.6,5.1,38
Boone,"49,566","53,091","58,042",12,7.1,9.3,7
Box Butte,"46,140","48,906","50,518",48,6.0,3.3,64
Boyd,"49,260","52,559","57,949",14,6.7,10.3,5
Brown,"51,593","53,938","57,563",15,4.5,6.7,17
Buffalo,"51,638","56,293","57,453",16,9.0,2.1,87
Burt,"44,706","47,155","50,943",46,5.5,8.0,10
Butler,"45,082","47,564","50,050",52,5.5,5.2,37
Cass,"48,961","51,306","53,422",30,4.8,4.1,49
Cedar,"45,598","49,420","50,992",44,8.4,3.2,70
Chase,"55,001","54,708","61,516",8,-0.5,12.4,3
Cherry,"44,329","44,572","46,632",71,0.5,4.6,43
Cheyenne,"48,931","49,704","49,384",55,1.6,-0.6,90
Clay,"47,783","49,475","51,362",42,3.5,3.8,53
Colfax,"40,489","42,736","44,785",80,5.5,4.8,42
Cuming,"62,115","64,187","67,977",4,3.3,5.9,28
Custer,"45,524","47,434","49,091",57,4.2,3.5,60
Dakota,"39,789","42,309","43,872",84,6.3,3.7,57
Dawes,"35,911","37,266","38,564",92,3.8,3.5,61
Dawson,"42,080","43,947","46,256",73,4.4,5.3,34
Deuel,"41,700","44,881","42,899",86,7.6,-4.4,93
Dixon,"38,624","41,608","43,920",83,7.7,5.6,31
Dodge,"45,161","46,697","48,123",64,3.4,3.1,73
Douglas,"60,086","62,485","63,853",6,4.0,2.2,84
Dundy,"61,404","68,093","74,921",2,10.9,10.0,6
Fillmore,"54,870","56,927","59,979",10,3.7,5.4,32
Franklin,"44,950","46,801","49,619",54,4.1,6.0,25
Frontier,"38,731","38,413","38,860",91,-0.8,1.2,89
Furnas,"42,088","42,912","46,012",74,2.0,7.2,12
Gage,"45,177","47,682","49,057",58,5.5,2.9,76
Garden,"44,179","45,043","48,213",63,2.0,7.0,14
Garfield,"39,165","39,138","41,192",87,-0.1,5.2,35
Gosper,"43,682","48,313","50,478",49,10.6,4.5,48
Grant,"45,169","45,648","51,082",43,1.1,11.9,4
Greeley,"44,018","45,466","46,979",70,3.3,3.3,62
Hall,"42,237","43,822","45,112",78,3.8,2.9,75
Hamilton,"54,900","54,589","56,372",17,-0.6,3.3,66
Harlan,"45,101","50,130","53,210",31,11.2,6.1,24
Hayes,"56,529","65,600","70,008",3,16.0,6.7,18
Hitchcock,"37,471","37,278","39,690",89,-0.5,6.5,20
Holt,"52,707","51,585","54,796",25,-2.1,6.2,22
Hooker,"45,638","50,762","51,849",39,11.2,2.1,85
Howard,"42,662","43,748","46,471",72,2.5,6.2,23
Jefferson,"46,060","48,209","50,079",51,4.7,3.9,50
Johnson,"32,704","34,222","36,262",93,4.6,6.0,26
Kearney,"53,295","53,379","56,230",20,0.2,5.3,33
Keith,"43,824","47,041","48,533",62,7.3,3.2,71
Keya Paha,"50,020","50,602","52,917",34,1.2,4.6,46
Kimball,"45,272","45,133","44,484",81,-0.3,-1.4,92
Knox,"45,490","46,175","47,418",68,1.5,2.7,79
Lancaster,"47,400","49,475","50,743",47,4.4,2.6,81
Lincoln,"46,356","47,761","49,052",59,3.0,2.7,77
Logan,"41,970","52,147","53,451",28,24.2,2.5,82
Loup,"52,917","53,545","52,977",33,1.2,-1.1,91
McPherson,"46,921","44,802","47,684",66,-4.5,6.4,21
Madison,"47,190","49,998","51,785",40,6.0,3.6,59
Merrick,"46,666","44,246","47,637",67,-5.2,7.7,11
Morrill,"53,358","55,343","58,632",11,3.7,5.9,27
Nance,"36,092","38,249","40,934",88,6.0,7.0,15
Nemaha,"45,642","46,816","49,201",56,2.6,5.1,39
Nuckolls,"46,794","49,783","53,144",32,6.4,6.8,16
Otoe,"49,318","53,259","55,284",23,8.0,3.8,54
Pawnee,"40,779","44,127","45,191",77,8.2,2.4,83
Perkins,"55,078","55,422","65,325",5,0.6,17.9,1
Phelps,"49,950","52,274","54,249",26,4.7,3.8,55
Pierce,"53,007","54,264","56,236",19,2.4,3.6,58
Platte,"44,710","46,846","48,102",65,4.8,2.7,80
Polk,"49,891","51,780","53,462",27,3.8,3.2,67
Red Willow,"43,496","45,342","47,027",69,4.2,3.7,56
Richardson,"46,183","48,205","50,988",45,4.4,5.8,29
Rock,"50,481","60,390","62,018",7,19.6,2.7,78
Saline,"40,503","42,405","44,351",82,4.7,4.6,45
Sarpy,"48,282","50,650","52,190",37,4.9,3.0,74
Saunders,"49,486","51,753","53,427",29,4.6,3.2,68
Scotts Bluff,"43,090","45,125","45,992",75,4.7,1.9,88
Seward,"48,550","50,882","52,487",36,4.8,3.2,72
Sheridan,"45,392","47,126","48,644",61,3.8,3.2,69
Sherman,"40,037","41,112","42,984",85,2.7,4.6,47
Sioux,"48,051","51,081","52,159",38,6.3,2.1,86
Stanton,"40,847","43,753","45,869",76,7.1,4.8,41
Thayer,"51,724","53,633","56,265",18,3.7,4.9,40
Thomas,"48,636","54,188","55,960",21,11.4,3.3,65
Thurston,"35,839","37,052","39,667",90,3.4,7.1,13
Valley,"44,541","47,021","49,708",53,5.6,5.7,30
Washington,"53,986","55,819","57,962",13,3.4,3.8,52
Wayne,"41,890","43,443","44,879",79,3.7,3.3,63
Webster,"45,749","48,902","52,857",35,6.9,8.1,9
Wheeler,"61,021","73,358","82,976",1,20.2,13.1,2
York,"46,580","49,296","51,573",41,5.8,4.6,44
,,,,,,,
Nevada,"47,650","50,000","51,161",--,4.9,2.3,--
Churchill,"42,834","44,395","45,219",10,3.6,1.9,17
Clark,"45,798","47,759","48,806",7,4.3,2.2,15
Douglas,"71,735","73,694","75,635",1,2.7,2.6,13
Elko,"44,951","46,898","48,584",8,4.3,3.6,8
Esmeralda,"42,794","39,207","41,641",12,-8.4,6.2,3
Eureka,"37,769","38,916","42,932",11,3.0,10.3,1
Humboldt,"45,949","46,550","49,228",6,1.3,5.8,5
Lander,"62,055","65,758","69,293",2,6.0,5.4,6
Lincoln,"36,076","37,083","39,362",16,2.8,6.1,4
Lyon,"37,311","38,361","39,650",14,2.8,3.4,10
Mineral,"37,239","38,341","41,634",13,3.0,8.6,2
Nye,"37,011","38,120","39,431",15,3.0,3.4,9
Pershing,"32,625","32,234","32,859",17,-1.2,1.9,16
Storey,"53,616","57,953","59,628",4,8.1,2.9,12
Washoe,"57,100","61,934","63,360",3,8.5,2.3,14
White Pine,"42,591","44,862","46,761",9,5.3,4.2,7
Carson City,"48,572","50,797","52,470",5,4.6,3.3,11
,,,,,,,
New Hampshire,"58,759","61,471","63,502",--,4.6,3.3,--
Belknap,"58,357","61,242","63,308",3,4.9,3.4,5
Carroll,"57,185","58,523","60,157",5,2.3,2.8,6
Cheshire,"50,149","51,934","53,141",8,3.6,2.3,10
Coos,"42,003","43,227","44,399",10,2.9,2.7,7
Grafton,"58,007","61,800","63,319",2,6.5,2.5,9
Hillsborough,"58,566","61,111","63,218",4,4.3,3.4,3
Merrimack,"55,603","57,571","59,593",6,3.5,3.5,2
Rockingham,"70,631","74,258","76,902",1,5.1,3.6,1
Strafford,"48,300","50,661","52,387",9,4.9,3.4,4
Sullivan,"49,884","52,762","54,115",7,5.8,2.6,8
,,,,,,,
New Jersey,"64,983","67,845","70,471",--,4.4,3.9,--
Atlantic,"46,796","48,548","50,631",19,3.7,4.3,5
Bergen,"81,676","86,404","89,456",4,5.8,3.5,20
Burlington,"59,432","61,244","63,605",11,3.0,3.9,16
Camden,"51,889","53,740","55,780",16,3.6,3.8,17
Cape May,"58,019","60,264","62,734",13,3.9,4.1,9
Cumberland,"38,807","39,587","41,237",21,2.0,4.2,7
Essex,"64,232","65,214","67,657",9,1.5,3.7,18
Gloucester,"52,496","54,344","56,499",15,3.5,4.0,12
Hudson,"62,353","66,705","69,406",8,7.0,4.0,10
Hunterdon,"85,032","88,565","92,291",3,4.2,4.2,6
Mercer,"66,045","69,080","71,790",6,4.6,3.9,13
Middlesex,"58,289","61,012","63,457",12,4.7,4.0,11
Monmouth,"75,916","79,471","82,551",5,4.7,3.9,15
Morris,"93,633","97,819","101,646",2,4.5,3.9,14
