"Table 1. Per Capita Personal Income by County, 2017 - 2019",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in State,Percent change,,Rank in State
Duval,"44,767","46,420","47,475",21,3.7,2.3,48
Escambia,"41,182","42,898","44,349",28,4.2,3.4,22
Flagler,"44,613","46,393","47,558",20,4.0,2.5,44
Franklin,"34,500","37,616","37,320",41,9.0,-0.8,67
Gadsden,"33,620","34,717","35,885",44,3.3,3.4,24
Gilchrist,"32,708","33,487","34,756",47,2.4,3.8,12
Glades,"24,112","25,265","26,102",65,4.8,3.3,26
Gulf,"34,234","37,629","46,346",24,9.9,23.2,1
Hamilton,"25,774","27,176","27,643",63,5.4,1.7,55
Hardee,"28,321","28,034","29,545",59,-1.0,5.4,6
Hendry,"30,606","32,337","33,204",53,5.7,2.7,41
Hernando,"35,893","36,996","38,223",38,3.1,3.3,25
Highlands,"33,011","33,548","34,480",48,1.6,2.8,39
Hillsborough,"44,957","46,812","48,452",17,4.1,3.5,15
Holmes,"29,943","30,924","31,822",56,3.3,2.9,33
Indian River,"74,267","79,353","80,818",5,6.8,1.8,53
Jackson,"31,644","33,401","36,014",43,5.6,7.8,3
Jefferson,"39,118","40,394","41,989",34,3.3,3.9,11
Lafayette,"24,643","25,033","27,645",62,1.6,10.4,2
Lake,"40,928","42,237","43,425",31,3.2,2.8,38
Lee,"49,714","51,093","52,064",13,2.8,1.9,52
Leon,"42,713","45,093","46,394",23,5.6,2.9,35
Levy,"35,613","36,066","37,680",39,1.3,4.5,9
Liberty,"23,862","24,703","25,973",66,3.5,5.1,7
Madison,"31,640","32,874","33,859",51,3.9,3.0,32
Manatee,"46,130","47,635","48,618",16,3.3,2.1,51
Marion,"36,141","37,219","38,293",37,3.0,2.9,34
Martin,"81,063","83,263","85,394",3,2.7,2.6,43
Miami-Dade,"48,861","53,148","54,902",11,8.8,3.3,27
Monroe,"87,123","97,768","101,262",1,12.2,3.6,14
Nassau,"56,362","60,364","61,329",9,7.1,1.6,57
Okaloosa,"47,564","49,267","50,681",15,3.6,2.9,36
Okeechobee,"30,742","31,093","31,971",55,1.1,2.8,37
Orange,"42,889","44,724","46,250",25,4.3,3.4,21
Osceola,"32,346","34,090","35,258",46,5.4,3.4,20
Palm Beach,"77,041","81,445","83,268",4,5.7,2.2,49
Pasco,"39,114","40,779","42,070",33,4.3,3.2,28
Pinellas,"51,513","53,762","55,607",10,4.4,3.4,19
Polk,"34,938","35,789","36,649",42,2.4,2.4,46
Putnam,"31,007","31,938","32,949",54,3.0,3.2,29
St. Johns,"66,610","69,698","70,498",6,4.6,1.1,62
St. Lucie,"38,441","39,881","41,125",35,3.7,3.1,30
Santa Rosa,"43,295","44,479","45,981",26,2.7,3.4,23
Sarasota,"62,789","65,864","66,878",7,4.9,1.5,58
Seminole,"47,059","49,451","51,156",14,5.1,3.4,18
Sumter,"44,741","47,364","48,387",18,5.9,2.2,50
Suwannee,"32,492","33,807","33,882",50,4.0,0.2,66
Taylor,"29,073","30,647","31,054",57,5.4,1.3,61
Union,"20,832","21,681","22,440",67,4.1,3.5,17
Volusia,"41,019","42,867","44,180",29,4.5,3.1,31
Wakulla,"35,267","37,166","37,660",40,5.4,1.3,60
Walton,"59,118","63,961","64,481",8,8.2,0.8,65
Washington,"28,990","29,946","30,268",58,3.3,1.1,64
,,,,,,,
Georgia,"44,894","46,957","48,236",--,4.6,2.7,--
Appling,"33,329","34,058","35,514",95,2.2,4.3,41
Atkinson,"29,842","30,277","31,542",138,1.5,4.2,45
Bacon,"31,903","32,169","33,393",124,0.8,3.8,56
Baker,"34,559","36,850","41,323",36,6.6,12.1,3
Baldwin,"31,962","32,870","34,128",116,2.8,3.8,53
Banks,"34,915","35,636","35,151",101,2.1,-1.4,155
Barrow,"35,399","36,410","37,436",68,2.9,2.8,94
Bartow,"36,760","38,312","39,505",41,4.2,3.1,75
Ben Hill,"30,271","31,890","33,228",125,5.3,4.2,44
Berrien,"31,001","31,309","32,935",127,1.0,5.2,27
Bibb,"40,241","41,555","42,696",31,3.3,2.7,96
Bleckley,"33,501","34,332","35,272",98,2.5,2.7,98
Brantley,"26,293","27,453","28,248",151,4.4,2.9,88
Brooks,"34,384","35,566","37,655",63,3.4,5.9,22
Bryan,"50,186","53,188","53,853",7,6.0,1.3,141
Bulloch,"31,183","32,381","32,724",129,3.8,1.1,143
Burke,"34,988","35,861","38,481",56,2.5,7.3,12
Butts,"32,973","34,530","35,017",104,4.7,1.4,138
Calhoun,"24,841","24,536","27,390",153,-1.2,11.6,4
Camden,"34,959","36,061","37,184",71,3.2,3.1,74
Candler,"31,307","32,504","34,192",115,3.8,5.2,28
Carroll,"37,034","38,359","39,147",48,3.6,2.1,123
Catoosa,"34,097","35,200","36,399",84,3.2,3.4,65
Charlton,"24,211","24,508","25,020",156,1.2,2.1,118
Chatham,"45,475","47,398","48,294",16,4.2,1.9,130
Chattahoochee,"30,950","29,790","30,062",144,-3.7,0.9,146
Chattooga,"30,030","30,960","31,577",137,3.1,2.0,126
Cherokee,"49,351","51,311","52,953",9,4.0,3.2,71
Clarke,"32,663","34,034","34,869",106,4.2,2.5,111
Clay,"31,022","32,637","35,142",102,5.2,7.7,10
Clayton,"27,145","27,827","28,665",150,2.5,3.0,80
Clinch,"36,132","37,430","39,136",49,3.6,4.6,37
Cobb,"54,986","57,528","59,194",5,4.6,2.9,87
Coffee,"31,927","32,830","34,073",119,2.8,3.8,59
Colquitt,"32,788","33,337","34,780",109,1.7,4.3,40
Columbia,"47,850","49,355","51,184",11,3.1,3.7,62
Cook,"31,178","32,618","33,845",123,4.6,3.8,60
Coweta,"44,802","47,070","48,424",15,5.1,2.9,90
Crawford,"33,205","33,850","34,100",117,1.9,0.7,147
Crisp,"32,003","32,958","35,421",96,3.0,7.5,11
Dade,"33,840","35,890","34,639",112,6.1,-3.5,158
Dawson,"43,550","45,676","46,278",21,4.9,1.3,140
Decatur,"34,430","36,709","38,393",59,6.6,4.6,36
DeKalb,"49,045","51,659","53,086",8,5.3,2.8,95
